incident_state	date	transportation	serious_incident	latitude	longitude
CT	1990-07-18	H	0	41.8489872	-72.5717551
PA	1990-07-25	H	0	40.1350928	-76.8596945
TX	1990-07-26	H	0	30.267153	-97.7430608
TX	1990-07-27	H	0	30.267153	-97.7430608
MI	1990-07-27	H	0	42.6389216	-83.2910468
WI	1990-07-27	H	0	42.8858503	-87.8631362
NJ	1990-07-31	H	0	40.7464901	-74.1562551
NY	1990-08-03	H	0	43.0481221	-76.1474244
WI	1990-08-03	H	0	42.8858503	-87.8631362
PA	1990-08-04	H	0	40.1000961	-76.3541265
NY	1990-08-07	H	0	43.0481221	-76.1474244
FL	1990-08-08	H	0	26.1669711	-80.256595
CA	1990-08-10	H	0	34.0686206	-118.0275667
PA	1990-08-10	H	0	40.2010241	-77.2002745
IL	1990-08-10	H	0	41.8781136	-87.6297982
CO	1990-08-15	H	0	39.9935959	-105.0897058
WI	1990-08-15	A	0	44.519159	-88.019826
MI	1990-08-20	H	0	42.331427	-83.0457538
CA	1990-08-24	H	0	34.0522342	-118.2436849
KS	1990-08-24	H	0	39.114053	-94.6274636
CA	1990-08-26	H	0	33.590277	-117.6962824
FL	1990-08-27	H	0	28.5383355	-81.3792365
WI	1990-08-27	H	0	44.1858193	-88.462609
NY	1990-08-28	H	0	43.0481221	-76.1474244
IL	1990-08-28	H	0	41.4883685	-87.5675414
TN	1990-08-30	H	1	35.0456297	-85.3096801
NC	1990-09-03	H	0	35.2750345	-80.9367148
CA	1990-09-04	H	0	34.0522342	-118.2436849
PA	1990-09-05	H	0	39.9525839	-75.1652215
MN	1990-09-06	H	1	44.448423	-95.7911916
MN	1990-09-12	H	0	44.7677424	-93.2777226
OH	1990-09-13	H	0	39.9611755	-82.9987942
